	Assay	Cell Type	Molecule
0	CAGE	Clontech Human Universal Reference Total RNA, pool1	
1	CAGE	Clontech Human Universal Reference Total RNA, pool1	
2	CAGE	SABiosciences XpressRef Human Universal Total RNA, pool1	
3	CAGE	SABiosciences XpressRef Human Universal Total RNA, pool1	
4	CAGE	Universal RNA - Human Normal Tissues Biochain, pool1	
5	CAGE	Universal RNA - Human Normal Tissues Biochain, pool1	
6	CAGE	adipose tissue, adult, pool1	
7	CAGE	adipose tissue, adult, pool1	
8	CAGE	bladder, adult, pool1	
9	CAGE	bladder, adult, pool1	
10	CAGE	brain, adult, pool1	
11	CAGE	brain, adult, pool1	
12	CAGE	cervix, adult, pool1	
13	CAGE	cervix, adult, pool1	
14	CAGE	colon, adult, pool1	
15	CAGE	colon, adult, pool1	
16	CAGE	esophagus, adult, pool1	
17	CAGE	esophagus, adult, pool1	
18	CAGE	heart, adult, pool1	
19	CAGE	heart, adult, pool1	
20	CAGE	kidney, adult, pool1	
21	CAGE	kidney, adult, pool1	
22	CAGE	liver, adult, pool1	
23	CAGE	liver, adult, pool1	
24	CAGE	lung, adult, pool1	
25	CAGE	lung, adult, pool1	
26	CAGE	ovary, adult, pool1	
27	CAGE	ovary, adult, pool1	
28	CAGE	placenta, adult, pool1	
29	CAGE	placenta, adult, pool1	
30	CAGE	prostate, adult, pool1	
31	CAGE	prostate, adult, pool1	
32	CAGE	skeletal muscle, adult, pool1	
33	CAGE	skeletal muscle, adult, pool1	
34	CAGE	small intestine, adult, pool1	
35	CAGE	small intestine, adult, pool1	
36	CAGE	spleen, adult, pool1	
37	CAGE	spleen, adult, pool1	
38	CAGE	testis, adult, pool1	
39	CAGE	testis, adult, pool1	
40	CAGE	thymus, adult, pool1	
41	CAGE	thymus, adult, pool1	
42	CAGE	thyroid, adult, pool1	
43	CAGE	thyroid, adult, pool1	
44	CAGE	trachea, adult, pool1	
45	CAGE	trachea, adult, pool1	
46	CAGE	retina, adult, pool1	
47	CAGE	retina, adult, pool1	
48	CAGE	temporal lobe, adult, pool1	
49	CAGE	temporal lobe, adult, pool1	
50	CAGE	postcentral gyrus, adult, pool1	
51	CAGE	postcentral gyrus, adult, pool1	
52	CAGE	pons, adult, pool1	
53	CAGE	pons, adult, pool1	
54	CAGE	parietal lobe, adult, pool1	
55	CAGE	parietal lobe, adult, pool1	
56	CAGE	paracentral gyrus, adult, pool1	
57	CAGE	paracentral gyrus, adult, pool1	
58	CAGE	occipital pole, adult, pool1	
59	CAGE	occipital pole, adult, pool1	
60	CAGE	nucleus accumbens, adult, pool1	
61	CAGE	nucleus accumbens, adult, pool1	
62	CAGE	medulla oblongata, adult, pool1	
63	CAGE	medulla oblongata, adult, pool1	
64	CAGE	insula, adult, pool1	
65	CAGE	insula, adult, pool1	
66	CAGE	frontal lobe, adult, pool1	
67	CAGE	frontal lobe, adult, pool1	
68	CAGE	dura mater, adult,	
69	CAGE	dura mater, adult,	
70	CAGE	corpus callosum, adult, pool1	
71	CAGE	corpus callosum, adult, pool1	
72	CAGE	thymus, fetal, pool1	
73	CAGE	thymus, fetal, pool1	
74	CAGE	spleen, fetal, pool1	
75	CAGE	spleen, fetal, pool1	
76	CAGE	kidney, fetal, pool1	
77	CAGE	kidney, fetal, pool1	
78	CAGE	heart, fetal, pool1	
79	CAGE	heart, fetal, pool1	
80	CAGE	tonsil, adult, pool1	
81	CAGE	tonsil, adult, pool1	
82	CAGE	acute myeloid leukemia (FAB M5) cell line	
83	CAGE	acute myeloid leukemia (FAB M5) cell line	
84	CAGE	acute myeloid leukemia (FAB M5) cell line	
85	CAGE	acute myeloid leukemia (FAB M5) cell line	
86	CAGE	acute myeloid leukemia (FAB M5) cell line	
87	CAGE	acute myeloid leukemia (FAB M5) cell line	
88	CAGE	lung adenocarcinoma cell line	
89	CAGE	lung adenocarcinoma cell line	
90	CAGE	chronic myelogenous leukemia cell line	
91	CAGE	chronic myelogenous leukemia cell line	
92	CAGE	extraskeletal myxoid chondrosarcoma cell line	
93	CAGE	extraskeletal myxoid chondrosarcoma cell line	
94	CAGE	renal cell carcinoma cell line	
95	CAGE	renal cell carcinoma cell line	
96	CAGE	malignant trichilemmal cyst cell line	
97	CAGE	malignant trichilemmal cyst cell line	
98	CAGE	glioma cell line	
99	CAGE	glioma cell line	
100	CAGE	maxillary sinus tumor cell line	
101	CAGE	maxillary sinus tumor cell line	
102	CAGE	gall bladder carcinoma cell line	
103	CAGE	gall bladder carcinoma cell line	
104	CAGE	papillotubular adenocarcinoma cell line	
105	CAGE	papillotubular adenocarcinoma cell line	
106	CAGE	transitional-cell carcinoma cell line	
107	CAGE	transitional-cell carcinoma cell line	
108	CAGE	breast carcinoma cell line	
109	CAGE	breast carcinoma cell line	
110	CAGE	colon carcinoma cell line	
111	CAGE	colon carcinoma cell line	
112	CAGE	adult T-cell leukemia cell line	
113	CAGE	adult T-cell leukemia cell line	
114	CAGE	Burkitt's lymphoma cell line	
115	CAGE	Burkitt's lymphoma cell line	
116	CAGE	choriocarcinoma cell line	
117	CAGE	choriocarcinoma cell line	
118	CAGE	splenic lymphoma with villous lymphocytes cell line	
119	CAGE	splenic lymphoma with villous lymphocytes cell line	
120	CAGE	astrocytoma cell line	
